1 10/15/2023 18:15:27 PM	 pick up yo damn phone 
1 10/16/2023 15:58:38 PM	 dumbass hoe 
1 10/16/2023 15:58:44 PM	 kys 
0 10/16/2023 16:02:01 PM	 I hope you’re doing okay mateo 
1 10/16/2023 16:02:17 PM	 no stop 
1 10/16/2023 16:02:19 PM	 be mean 
0 10/16/2023 16:02:31 PM	 I don’t wanna be mean anymore
1 10/16/2023 16:05:20 PM	 why
0 10/16/2023 16:07:53 PM	 I’m in a weird mood
1 10/19/2023 09:03:01 AM	 hello?
1 10/19/2023 09:03:08 AM	 Adri 
1 10/19/2023 09:03:14 AM	 are you alive
0 10/19/2023 12:23:53 PM	 Hi
0 10/21/2023 14:21:28 PM	 Hi
0 10/21/2023 14:28:19 PM	 The fuck
0 10/21/2023 14:57:15 PM	 Right
1 10/22/2023 18:26:18 PM	 dumbass how 
1 10/22/2023 18:26:21 PM	 hoe 
1 10/22/2023 18:26:25 PM	 if i get banned 
1 10/22/2023 18:26:29 PM	 you’re done for 
1 10/24/2023 15:28:06 PM	 i would’ve thought you were failing most stuff 
1 10/24/2023 01:56:19 AM	 hi
1 10/24/2023 02:01:52 AM	 it’s all love ❤️ 
0 10/24/2023 02:02:02 AM	 ❤️❤️❤️
0 10/24/2023 02:06:20 AM	 Bitch I hope you die and get ran over
1 10/24/2023 02:06:27 AM	 ??????
0 10/24/2023 02:06:28 AM	 LITERALLY GET *****
0 10/24/2023 02:06:36 AM	 I HATE YOU?????
1 10/24/2023 02:06:42 AM	 what’s the matter with you
1 10/24/2023 02:06:48 AM	 ???
1 10/24/2023 02:06:56 AM	 hello?
0 10/24/2023 02:07:09 AM	 You
1 10/24/2023 02:07:19 AM	 tf i do 😭😭
0 10/24/2023 02:07:31 AM	 I hope u get ***** ***** *** ***** ***
1 10/24/2023 02:07:35 AM	 you and your mood swings  
1 10/24/2023 02:07:47 AM	 i have no idea why you’re pissed 
0 10/24/2023 02:07:48 AM	 I DONT BAVE MOOD SWINGS?
0 10/24/2023 02:07:53 AM	 ITS YOU.
1 10/24/2023 02:07:54 AM	 😹😹😹😹😹😭
1 10/24/2023 02:08:13 AM	 how did i make you pissed????
1 10/24/2023 02:08:19 AM	 tf are you on about 
0 10/24/2023 02:08:21 AM	 Ok
1 10/24/2023 02:08:24 AM	 ???
0 10/24/2023 02:08:24 AM	 WHATEVER
1 10/24/2023 02:08:28 AM	 what????
0 10/24/2023 02:08:31 AM	 Idgaf goodnight goodbye
1 10/24/2023 02:08:33 AM	 what’s wrong with you
1 10/24/2023 02:08:34 AM	 no
1 10/24/2023 13:29:40 PM	 ?????? no??
1 10/24/2023 13:29:46 PM	 you always have a damn attitude 
0 10/24/2023 13:29:53 PM	 😳😳😳
0 10/24/2023 13:29:56 PM	 Blame him not me!
0 10/24/2023 13:30:03 PM	 Something weird about me is that
0 10/24/2023 13:30:06 PM	 I never get mad
0 10/24/2023 13:30:07 PM	 Like ever
0 10/24/2023 13:30:18 PM	 I’ve never been actually mad at somebody like for real
0 10/24/2023 13:30:22 PM	 What is that
0 10/24/2023 13:30:32 PM	 So odd
1 10/24/2023 13:30:44 PM	 ??????
0 10/24/2023 13:31:08 PM	 OK WELL THATS NOT ME BEINF MAD THATS JUST ME IN A MOOD
0 10/24/2023 13:31:20 PM	 The only person i get kinda mad at is my dad
1 10/24/2023 13:31:20 PM	 here we go again….
0 10/24/2023 13:31:28 PM	 Otherwise I am sweety pie❤️
0 10/24/2023 13:31:32 PM	 ?????
1 10/24/2023 13:31:55 PM	 ok next question 
1 10/24/2023 13:32:17 PM	 what’s the biggest regret of your life????
1 10/24/2023 02:15:24 AM	 yes you are
0 10/24/2023 02:15:32 AM	 Mateo im scared im starting to sound like when i was crazy
0 10/24/2023 02:15:37 AM	 Why is thus happening.
1 10/24/2023 02:15:51 AM	 ???? 😹😭😭😭😭 ask yourself 
1 10/24/2023 02:16:01 AM	 why did you even send me this 
0 10/24/2023 02:16:08 AM	 Okaywhatever I don’t even wanna talk about this 
1 10/24/2023 02:16:16 AM	 no tell me why 
0 10/24/2023 02:16:18 AM	 I don’t know
1 10/24/2023 02:16:24 AM	 😭
1 10/24/2023 02:16:28 AM	 i know you meant it 
1 10/24/2023 02:16:37 AM	 what if i actually get ran over.?
0 10/24/2023 02:16:46 AM	 Then oh well
0 10/24/2023 02:16:56 AM	 I’m gonna be ok when I wake up tomorow don’t worry
1 10/24/2023 02:17:07 AM	 are things going well at home?
1 10/24/2023 02:17:26 AM	 i really don’t know why you’d throw a tantrum all of a sudden 
0 10/24/2023 02:17:47 AM	 Yes I’m okay
0 10/24/2023 02:17:53 AM	 Idk either
1 10/24/2023 02:18:00 AM	 good to know
0 10/24/2023 02:18:01 AM	 It’s gonna be ok don’t u worry❤️
0 10/24/2023 02:18:06 AM	 No more crazy
0 10/24/2023 02:18:11 AM	 IM NOTMAL?
1 10/24/2023 02:18:24 AM	 i liked it a bit 
0 10/24/2023 02:18:33 AM	 Freak
1 10/24/2023 02:18:47 AM	 you’re the crazy one?????
0 10/24/2023 02:18:54 AM	 Ima cry this is just like how iwas when this crazy butch made me crazy 
