1 12/04/2023 13:00:12 PM	 you’ll go to jail
0 12/04/2023 13:00:14 PM	 Good😂
0 12/04/2023 13:00:27 PM	 ???😂😂😂😂😂😂😂😂😂😂 
1 12/04/2023 13:00:31 PM	 ok so it’s fine when YOU make fun of me???????
0 12/04/2023 13:00:33 PM	 Who you threatening…..?
0 12/04/2023 13:00:38 PM	 WHO GHE FUCK YOU THREATENING 
0 12/04/2023 13:00:40 PM	 CAUSE IT AINT ME
1 12/04/2023 13:00:41 PM	 very hypocritical of you
1 12/04/2023 13:00:49 PM	 😭😭😳😳
0 12/04/2023 13:01:00 PM	 WHEN I DO MAKE FUN OF YOU?….
1 12/04/2023 13:01:10 PM	 always???
0 12/04/2023 13:01:22 PM	 Ok tell me when
0 12/04/2023 13:01:26 PM	 LITERALLY WHEN
0 12/04/2023 13:01:58 PM	 I DONT RECALL MENTIONING YOUR FAMILY EVERY OTHER CONVERSATION WE HAVW ESPECIALLY WHEN U KNOW GOOD AND WELLLLLLLLLLL I DONT WANNA TALKABOUT IT
0 12/04/2023 13:02:08 PM	 OUUUUUUUUUUUUUU YOY INSENSITIVE ASS BITCH IMA GET YOU R*****
0 12/04/2023 13:02:13 PM	 JUST WAIR AND SEE
0 12/04/2023 13:02:24 PM	 Did I lie
1 12/04/2023 13:02:50 PM	 😹
0 12/04/2023 13:02:57 PM	 Ok
0 12/04/2023 13:03:00 PM	 Let me ignore your sss
0 12/04/2023 13:03:02 PM	 Until
0 12/04/2023 13:03:07 PM	 U get ur act together
0 12/04/2023 13:03:11 PM	 Cause im NOT ok with this behavior
1 12/04/2023 13:03:13 PM	 …..??..????????
0 12/04/2023 13:03:21 PM	 SAY YOURE SORRY
0 12/04/2023 13:03:51 PM	 WHY HE DONR WANNA TALK LOUD NOW
0 12/04/2023 13:03:53 PM	 COME BAXK
1 12/04/2023 13:04:05 PM	 sorry i was talking to someone 
1 12/04/2023 13:04:11 PM	 umm
1 12/04/2023 13:04:15 PM	 ok you’re iñrihjt 
1 12/04/2023 13:04:16 PM	 right
1 12/04/2023 13:04:29 PM	 it was very insensitive of me to do that…
0 12/04/2023 13:04:44 PM	 Ok and I don’t even have an eating disorder AND EVEN IF I DID YOY HAVE NO RIGHT TO SPEAK ON IT
0 12/04/2023 13:04:52 PM	 JUST TO MAKE IT KNOWN. 
1 12/04/2023 13:04:54 PM	 i’ll refrain from making jokes about your ** or your a**** or your *** or ***
0 12/04/2023 13:05:07 PM	 ……….
1 12/04/2023 13:05:11 PM	 ?????
0 12/04/2023 13:05:14 PM	 Ok😂😂😂😂😂😂😂U THINK THIS A DUXKINF GAME
0 12/04/2023 13:05:26 PM	 JUST WAIT TIKL I GET TO NEW TORK😂😂😂✌️✌️U NOT GONNA BE LAUFHING THEN
1 12/04/2023 13:05:41 PM	 😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐😐
1 12/04/2023 13:05:46 PM	 really 
0 12/04/2023 13:05:59 PM	 😂😭😂
0 12/04/2023 13:06:07 PM	 U not laughing now r u 
0 12/04/2023 13:06:14 PM	 And u think im playing too
0 12/04/2023 13:06:26 PM	 AND THATS HOW U CLEAR A BITCH😂😂😂😂✌️✌️✌️✌️
1 12/04/2023 13:06:54 PM	 ……
1 12/04/2023 13:07:07 PM	 you’re being used i hope you know that 
1 12/04/2023 13:07:34 PM	 dis shit not even funny 
1 12/04/2023 13:07:40 PM	 stupid ass 🆖
0 12/04/2023 13:07:47 PM	 Oh so now it’s not funny???…..
0 12/04/2023 13:07:54 PM	 SO THATS WHERE U DRAW THE LINE????….
0 12/04/2023 13:08:18 PM	 BUT MAKING FUN OF THINGS I CANT CONTROL OS HILARIOUS HUH 😂😂😂😂😂😂😂😂😂😂
0 12/04/2023 13:08:28 PM	 Right so shut the fuck up
1 12/04/2023 13:08:35 PM	 I SAID I’M SORRY
0 12/04/2023 13:08:41 PM	 OK I DONT CARE?
1 12/04/2023 13:08:55 PM	 i didn’t know you were so sensitive about that 
1 12/04/2023 13:09:01 PM	 i won’t make those jokes again
0 12/04/2023 13:09:02 PM	 I’m not???……
0 12/04/2023 13:09:08 PM	 WHO TOLD U IM SENSITIVE
1 12/04/2023 13:09:09 PM	 😐😐
0 12/04/2023 13:09:26 PM	 IF IWAS SENSITIVE YOU WOUKD HAVE BEEN BLOCKED MONTHS AGO I HOPE U KNOW THT😂😂😂😂
1 12/04/2023 13:09:40 PM	 ok maybe i nugged you too much 
1 12/04/2023 13:09:42 PM	 i’m sorry 
1 12/04/2023 13:09:48 PM	 can we move on
1 12/04/2023 13:09:54 PM	 i won’t do it again 
1 12/04/2023 13:09:57 PM	 i promise 
0 12/04/2023 13:09:57 PM	 I Really really really hope you don’t make jokes like that with another other woman because……… THATS NOT NIRMAL
0 12/04/2023 13:10:08 PM	 Ok
0 12/04/2023 13:10:52 PM	 Who…….
1 12/04/2023 13:10:56 PM	 ?
0 12/04/2023 13:11:00 PM	 OUUU
0 12/04/2023 13:11:03 PM	 YOU ARE SO ANNOYING MATEO
1 12/04/2023 13:11:03 PM	 HWST
1 12/04/2023 13:11:08 PM	 WHAT????
0 12/04/2023 13:11:09 PM	 IM LITERALLU GONNA BLOCK YOY
0 12/04/2023 13:11:11 PM	 SAY I WONT
1 12/04/2023 13:11:16 PM	 i literally have not said anything…? 
1 12/04/2023 13:11:18 PM	 😭😭
0 12/04/2023 13:11:20 PM	 SAY I WONT😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
1 12/04/2023 13:11:22 PM	 i don’t get it 
1 12/04/2023 13:11:28 PM	 wtf are you yapping about
0 12/04/2023 13:11:40 PM	 Ok don’t talk to me. 
1 12/04/2023 13:11:44 PM	 what
1 12/04/2023 13:11:46 PM	 Adri 
0 12/04/2023 13:11:52 PM	 WHAT. 
1 12/04/2023 13:11:59 PM	 WHY ARE YOU SO BIPOLAR 
0 12/04/2023 13:12:09 PM	 MIND UR OWN BUSINESS??????
1 12/04/2023 13:12:12 PM	 😭
0 12/04/2023 13:12:13 PM	 BECAUSE I AM????.?.?.???
1 12/04/2023 13:12:18 PM	 you’re crazy 
0 12/04/2023 13:12:19 PM	 DO U HAVE A PROBLEM. 
0 12/04/2023 13:12:23 PM	 DO YOU???????????
0 12/04/2023 13:12:26 PM	 NO I DIDNT THINK SO. 
0 12/04/2023 13:12:33 PM	 SRUPID FAT BITCH TALKING TO ME LIKE 😂😂😂?????
1 12/04/2023 13:12:37 PM	 i like it 🤤
0 12/04/2023 13:12:47 PM	 Of course u do
0 12/04/2023 13:12:50 PM	 🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕😳
0 12/04/2023 13:12:53 PM	 Ew
1 12/04/2023 13:12:57 PM	 ?????
1 12/04/2023 13:13:02 PM	 ew what 
0 12/04/2023 13:13:06 PM	 Ew you
1 12/04/2023 13:13:09 PM	 huh
0 12/04/2023 13:13:10 PM	 ❤️
1 12/04/2023 13:13:29 PM	 you can not be saying ew to me 💀💀
0 12/04/2023 13:13:39 PM	 Oh trust me yes I can😂….
0 12/04/2023 13:14:14 PM	 He typing up a storm
1 12/04/2023 13:14:23 PM	 actually disgusting.
1 12/04/2023 13:14:26 PM	 freak
1 12/04/2023 13:14:38 PM	 nothing i’ve said or DONE compares to ts
0 12/04/2023 13:14:40 PM	 U WISH I WAS TALKING ABOUT U HUH😂😂😂😂😂😂😂😂
1 12/04/2023 13:14:40 PM	 😭😭
1 12/04/2023 13:14:46 PM	 😐
0 12/04/2023 13:14:51 PM	 Jealousy isn’t cute mateo….just saying ❤️
1 12/04/2023 13:14:54 PM	 no one wants a crazy bitch 😭😭
0 12/04/2023 13:15:03 PM	 Clearly u do😂😂😂😂😂😂😂😂
1 12/04/2023 13:15:13 PM	 notice how she changed the topic…
1 12/04/2023 13:15:20 PM	 embarrassing…
0 12/04/2023 13:15:27 PM	 don’t even get me started mateo….
1 12/04/2023 13:15:32 PM	 ?
0 12/04/2023 13:15:33 PM	 IMA SHOW YOU WHAT THE FUCK IS EMBARRASSING 
0 12/04/2023 13:15:46 PM	 PLEASE FOR THE LOVE OF GOD DONT LET ME GET SCREENSHOTD
0 12/04/2023 13:15:56 PM	 CAUSE TRUSTTTTYTYY MEEEE IT WILL GET TRAGIC 😭😭😭😭😭😭😭😭😭😭😭😭
1 12/04/2023 13:16:08 PM	 erm 
0 12/04/2023 13:16:17 PM	 Exactly bitch so shut the fuck up
0 12/04/2023 13:16:30 PM	 Why why he talking to me with all this disrespect 
1 12/04/2023 13:16:45 PM	 how come you’re able to disrespect me then????
0 12/04/2023 13:16:58 PM	 Cause I can…..????
0 12/04/2023 13:17:03 PM	 I’m the man of this relationship Tbh
1 12/04/2023 13:17:12 PM	 💀
0 12/04/2023 13:17:13 PM	 So don’t even 
0 12/04/2023 13:17:19 PM	 Idk what’s funny…
1 12/04/2023 13:17:37 PM	 you’re all yapp and yap 
1 12/04/2023 13:17:40 PM	 it’s funny 
1 12/04/2023 13:17:48 PM	 cus like you’re 5’1 😭😭😭😭😭
1 12/04/2023 13:17:59 PM	 literally a chihuahua 
0 12/04/2023 13:17:59 PM	 Looks to the side
0 12/04/2023 13:18:01 PM	 Anyway
1 12/04/2023 13:18:01 PM	 🙏
0 12/04/2023 13:18:28 PM	 Mateo please DONT get me started on height cause it will get messy…………
0 12/04/2023 13:18:39 PM	 U know better than that…
1 12/04/2023 13:19:15 PM	 your only comeback you EVER use is calling me fat which isn’t even true…. 😹😹
0 12/04/2023 13:19:22 PM	 Ok bitch
0 12/04/2023 13:19:30 PM	 WHY DO I EVEN GELL U THINGS
0 12/04/2023 13:19:36 PM	 DAMN RETSRDED BICH
1 12/04/2023 13:19:42 PM	 because i’m chill like that 😎
0 12/04/2023 13:20:06 PM	 No the fuck yoy not im not telling u anything again FUCK IUT MY FACE
1 12/04/2023 13:20:15 PM	 bruh what 
0 12/04/2023 13:20:27 PM	 YOU DID TJIS TO YOURSELF. 
1 12/04/2023 13:20:29 PM	 you know i was just messing around chill 
0 12/04/2023 13:20:43 PM	 Ok whatever 
1 12/04/2023 13:20:46 PM	  ??? i said sorry like 30 minutes ago and you forgave me
0 12/04/2023 13:20:54 PM	 Who said I forgave you
0 12/04/2023 13:21:00 PM	 Nobody ever stated that
0 12/04/2023 13:21:03 PM	 That’s very bold of u to assume
1 12/04/2023 13:21:15 PM	 ok do you forgive me please Adri ❤️
1 12/04/2023 13:21:20 PM	 ..?
0 12/04/2023 13:21:24 PM	 No
0 12/04/2023 13:21:26 PM	 😂
0 12/04/2023 13:21:31 PM	 Any fucking way
1 12/04/2023 13:21:37 PM	 .
1 12/04/2023 13:22:12 PM	 you’re the only one i talk to like this because i know you’re literally a freak 💀
0 12/04/2023 13:22:22 PM	 ???…
0 12/04/2023 13:22:29 PM	 Thank u I take pride in that. 
1 12/04/2023 13:22:34 PM	 😭
0 12/04/2023 13:22:54 PM	 I wonder what ur future wife would think of u talking this way to me
0 12/04/2023 13:23:00 PM	 😂😂😂
0 12/04/2023 13:23:12 PM	 OUUUUUUUU IMA GET YOU BACK JUST WAIF LMFOAOAOAOAOAOAO
1 12/04/2023 13:23:41 PM	 WHAT WOULD YOUR FUTURE HUSBAND THINK OF YOU FLYING HALF WAY ACROSS THE COUNTRY TO FUCK SOME NIGGA 
1 12/04/2023 13:23:47 PM	 whore behavior 
0 12/04/2023 13:23:58 PM	 Who said my future husband ain’t him😂😂😂😂😂
0 12/04/2023 13:24:02 PM	 Kidding oh my hod please don’t hurt me
0 12/04/2023 13:24:06 PM	 IM KIDDING. JESUS. 
0 12/04/2023 13:24:11 PM	 ………….
0 12/04/2023 13:24:19 PM	 Is he getting the rope out as we speak 
0 12/04/2023 13:24:21 PM	 I’m scared
1 12/04/2023 13:24:36 PM	 why do i even talk to you
1 12/04/2023 13:24:47 PM	 i actually hope you get r*****
0 12/04/2023 13:24:56 PM	 …….
1 12/04/2023 13:25:00 PM	 ?????
0 12/04/2023 13:25:02 PM	 I’m gonna act like u didn’t say that 
1 12/04/2023 13:25:09 PM	 don’t get me started… 😹😹😹
1 12/04/2023 13:26:59 PM	 who you ignoring rn
1 12/04/2023 13:27:31 PM	 ??? ok whore 
0 12/04/2023 13:27:46 PM	 Donf call me a whore again ima squirt 
0 12/04/2023 13:27:48 PM	 No
1 12/04/2023 13:27:52 PM	 LMAOOOO 
0 12/04/2023 13:27:53 PM	 Idk what ur talking about
0 12/04/2023 13:28:02 PM	 Is this cute hole on
0 12/04/2023 13:30:21 PM	 Like this ourfit 
0 12/04/2023 13:30:25 PM	 But just imagine on me
1 12/04/2023 13:31:00 PM	 it’s alight 
0 12/04/2023 13:31:07 PM	 What’s wrong with it
0 12/04/2023 13:31:15 PM	 What’s funny
1 12/04/2023 13:31:27 PM	 the shorts and skin color match too much 
1 12/04/2023 13:31:31 PM	 so neither stands out
1 12/04/2023 13:31:34 PM	 🤓
0 12/04/2023 13:31:41 PM	 Ok u won’t be laughing tomorrow mateo😂😂😂😂😂
1 12/04/2023 13:31:45 PM	 😐
0 12/04/2023 13:31:47 PM	 We don’t have the same skin color
1 12/04/2023 13:32:01 PM	 ?????
0 12/04/2023 13:32:09 PM	 What’s confusing 
1 12/04/2023 13:32:17 PM	 where are you going after *** ****
0 12/04/2023 13:32:30 PM	 ???
0 12/04/2023 13:32:34 PM	 WHY U XENSORINF IT
0 12/04/2023 13:32:36 PM	 LIKE ITS A BAD WORD
1 12/04/2023 13:32:41 PM	 😹
0 12/04/2023 13:32:44 PM	 HE ALREADY KNOW WHATS GONNA HAPPEN
0 12/04/2023 13:32:45 PM	 😂😂😂😂😂
0 12/04/2023 13:33:43 PM	 Stop…..COME BAXK HERE
0 12/04/2023 13:33:44 PM	 LMFAOOAOAAOAOA
0 12/04/2023 13:33:48 PM	 STOP. 
0 12/04/2023 13:33:54 PM	 IM SORRY. DONT KILL YOIRSELF MATEO. 
0 12/04/2023 13:33:57 PM	 YOU ARE WORTHY. 
0 12/04/2023 13:34:42 PM	 Oh yea come back I have to tell u something
1 12/04/2023 13:34:52 PM	 what
0 12/04/2023 13:35:06 PM	 Ima get that 1 piercing like u said
0 12/04/2023 13:35:10 PM	 It’s gonna be so cute😭😭😭❤️❤️
1 12/04/2023 13:35:13 PM	 ok
0 12/04/2023 13:36:01 PM	 Look
0 12/04/2023 13:36:03 PM	 Isn’t it so cute
0 12/04/2023 13:36:08 PM	 😳
0 12/04/2023 13:36:12 PM	 Why are we mad at me right now. 
0 12/04/2023 13:36:16 PM	 IM SORRY. 
0 12/04/2023 13:36:29 PM	 DID I HURT YOUR FEELINGS SUGAR POO😭😭😭😭❤️❤️❤️❤️❤️
0 12/04/2023 13:37:40 PM	 Oh my god stop it
0 12/04/2023 13:37:43 PM	 Ok come back here 
0 12/04/2023 13:37:48 PM	 If u come back I’ll tell u a secret
1 12/04/2023 13:37:57 PM	 what do you want me to say?????????
0 12/04/2023 13:38:13 PM	 Hi
0 12/04/2023 13:38:20 PM	 CAN WE COMMUNICATE OR WHAT
0 12/04/2023 13:38:24 PM	 Is this cute
1 12/04/2023 13:38:30 PM	 yeah
0 12/04/2023 13:38:43 PM	 Hello 
1 12/04/2023 13:38:50 PM	 Hello?????
0 12/04/2023 13:38:56 PM	 Yea???? Or no
1 12/04/2023 13:39:04 PM	 are you blind??
0 12/04/2023 13:39:15 PM	 You said yeah before I even sent the fucking photo
1 12/04/2023 13:39:21 PM	 LMAOOO
0 12/04/2023 13:39:21 PM	 LMFAOOOOOOOOOO
0 12/04/2023 13:39:24 PM	 STOP IT. 
0 12/04/2023 13:40:05 PM	 Ok stop mateo…
1 12/04/2023 13:40:08 PM	 i stoped 
0 12/04/2023 13:40:14 PM	 YOU CANT BE MAD AT ME FOREVER SO JUST COME BACK ALREADY
1 12/04/2023 13:40:15 PM	 literally what do you want me to say???
1 12/04/2023 13:40:22 PM	 watch me 😹😹😹
0 12/04/2023 13:40:27 PM	 Oh???
0 12/04/2023 13:40:29 PM	 Okay
0 12/04/2023 13:40:32 PM	 😂😂😂😂😭😭😭😭
1 12/04/2023 13:41:15 PM	 did i do it???
0 12/04/2023 13:41:23 PM	 ………
1 12/04/2023 13:41:40 PM	 🆖
1 12/04/2023 13:41:51 PM	 Loved Digital Touch Message
1 12/04/2023 13:43:56 PM	 Adri come here 
0 12/04/2023 13:44:27 PM	 Yes mateo
1 12/04/2023 13:45:17 PM	 you should become a lesbian what happened to that 
1 12/04/2023 13:45:27 PM	 now that i think about it it’s a very good idea
0 12/04/2023 13:45:31 PM	 😂😂😂
0 12/04/2023 13:45:38 PM	 Why do you think that 
1 12/04/2023 13:46:52 PM	 ok never mind
0 12/04/2023 13:47:03 PM	 ?
0 12/04/2023 13:47:09 PM	 Go on?????
1 12/04/2023 13:47:15 PM	 why are you like this 
0 12/04/2023 13:47:40 PM	 Like what
0 12/04/2023 13:47:42 PM	 What am I like
1 12/04/2023 13:49:57 PM	 i’m so pissed i was gonna go eat but i got entertained class and the damn dinning hall closes in 11 minutes 
1 12/04/2023 13:50:00 PM	 😭😭😭😭😭
1 12/04/2023 13:50:24 PM	 can you order me door dash
0 12/04/2023 13:50:55 PM	 Baby if yeen😂
0 12/04/2023 13:51:02 PM	 Dont ask me stupid questions………
1 12/04/2023 13:52:02 PM	 what’s the most down bad thing you’ve done?
1 12/04/2023 13:52:14 PM	 excluding all your freak fetishes 
0 12/04/2023 13:52:37 PM	 Hmmm
0 12/04/2023 13:52:42 PM	 Let me think
1 12/04/2023 13:52:48 PM	 ok
1 12/04/2023 13:53:19 PM	 i once door dashed mcdonald’s to this girl i was talking to…
1 12/04/2023 13:53:21 PM	 never again 
1 12/04/2023 13:53:28 PM	 my friends made fun of me for weeks 
0 12/04/2023 13:53:32 PM	 ………
0 12/04/2023 13:53:36 PM	 I’m not even gonna
0 12/04/2023 13:53:38 PM	 Say anything
1 12/04/2023 13:53:46 PM	 good whore 
0 12/04/2023 13:53:51 PM	 I hope you’ve recovered from that kind of behavior ❤️
1 12/04/2023 13:55:41 PM	 are you finished??
0 12/04/2023 13:56:41 PM	 I got distracted I started doing something else
0 12/04/2023 13:56:49 PM	 I’ve never done anything doen bad like crazy before
0 12/04/2023 13:56:56 PM	 I know better than that…….
1 12/04/2023 14:01:56 PM	 ok
1 12/04/2023 14:02:06 PM	 what time is your flight nigga 
0 12/04/2023 14:02:15 PM	 ?….
0 12/04/2023 14:02:20 PM	 I think
0 12/04/2023 14:02:26 PM	 I’m gonna be there at like 
0 12/04/2023 14:02:39 PM	 9pm
0 12/04/2023 14:02:41 PM	 I’m tired
1 12/04/2023 14:05:36 PM	 did i ask?????
0 12/04/2023 14:05:44 PM	 ….
0 12/04/2023 14:05:45 PM	 😂
1 12/04/2023 14:06:19 PM	 isn’t that what you said yesterday when i told you about my left airpod?!😢
0 12/04/2023 14:07:49 PM	 It’s all love
1 12/04/2023 14:12:38 PM	 adri why did you ever tell me about your little friend from *** **** 
1 12/04/2023 14:13:14 PM	 do you genuinely enjoy seeing a good hearted honest man like me suffer???
0 12/04/2023 14:16:08 PM	 Yes I do shamelessly 
0 12/04/2023 14:16:15 PM	 Are u jealous
0 12/04/2023 14:16:17 PM	 Be honest
0 12/04/2023 14:16:20 PM	 Even just a little
0 12/04/2023 14:19:55 PM	 HELLO!
1 12/04/2023 14:20:02 PM	 hi
0 12/04/2023 14:20:06 PM	 Hi mateo 
1 12/04/2023 14:20:13 PM	 fucked up world we live in
1 12/04/2023 14:20:20 PM	 hi Adri 
0 12/04/2023 14:20:38 PM	 It’s a cruel world we live in mateo ❤️
1 12/04/2023 14:21:43 PM	 no no no not at all i love it when you tell me about all your future hookup prospects you stupid fucking whore please tell me more about what men you’re gonna have sex with ❤️❤️\nwhy would i be jealous???!! 😹\nfucking retard 
0 12/04/2023 14:23:52 PM	 It’s just him don’t worry ❤️
0 12/04/2023 14:24:01 PM	 OKAY IM SORRY MATEO\nYOURE TJE ONE BRINGING JIM UP NOT ME
0 12/04/2023 14:24:16 PM	 AND ALSO
0 12/04/2023 14:24:23 PM	 WHY IS IT ONLY S PROBLEM WHEN I DO IT??
0 12/04/2023 14:24:30 PM	 U CAN TALK ABOUT ******* GIRLS ALL U WANT
0 12/04/2023 14:24:56 PM	 BUT THE SECOND I MENTION ANOTJER MANS NAME ITS LIKE I JUST THRESTENED TO KILL U
0 12/04/2023 14:25:03 PM	 DSMN DOUBLE STANDARDS
1 12/04/2023 14:26:26 PM	 ohhh it’s just one guy ok that makes it soooo much better 😹😹😹😹😹
1 12/04/2023 14:26:39 PM	 yeah what are you gonna do about it 
0 12/04/2023 14:26:50 PM	 WOULD YOU RSTHER ME BE A WHORE?….
0 12/04/2023 14:27:00 PM	 BE GLAD IFS JUST 1. 
1 12/04/2023 14:27:06 PM	 acting like you’re not one already 💀💀💀
0 12/04/2023 14:27:09 PM	 Nothing 😂😂😂😂😂
0 12/04/2023 14:27:18 PM	 erm
1 12/04/2023 14:27:36 PM	 it’s different 
0 12/04/2023 14:27:47 PM	 Why is it different?
0 12/04/2023 14:27:57 PM	 Explain??
1 12/04/2023 14:28:17 PM	 because you don’t care in the slightest 
1 12/04/2023 14:28:22 PM	 but i care a bit
0 12/04/2023 14:28:29 PM	 Aw….
1 12/04/2023 14:28:33 PM	 ????
0 12/04/2023 14:28:38 PM	 Ok im sorry I wont talk about him again. 
1 12/04/2023 14:28:40 PM	 shit ain’t sweet…? 😹😹😹😹
0 12/04/2023 14:28:46 PM	 Baby if yeen
1 12/04/2023 14:28:47 PM	 remove that heart 
1 12/04/2023 14:29:40 PM	 you told me you wouldn’t talk about and guys at all the other day but you clearly don’t care
0 12/04/2023 14:29:49 PM	 Mateo
1 12/04/2023 14:29:54 PM	 Adri 
0 12/04/2023 14:29:54 PM	 Listen to me 
1 12/04/2023 14:29:59 PM	 ok
1 12/04/2023 14:30:00 PM	 hi
0 12/04/2023 14:30:02 PM	 I didn’t even bring him up
0 12/04/2023 14:30:05 PM	 It was you 
0 12/04/2023 14:30:09 PM	 So I don’t know why you’re upset at me
1 12/04/2023 14:30:22 PM	 whatever 🆖
1 12/04/2023 14:30:32 PM	 let’s just forget about this 
0 12/04/2023 14:30:40 PM	 Ok
1 12/04/2023 14:31:21 PM	 you mean “ok mateo” ??
1 12/04/2023 14:31:30 PM	 what’s funny
0 12/04/2023 14:31:51 PM	 Shut up
1 12/04/2023 14:32:09 PM	 make me 
1 12/04/2023 14:32:20 PM	 ❤️
0 12/04/2023 14:33:27 PM	 Mateo im tired of this 
1 12/04/2023 14:33:59 PM	 of what 
0 12/04/2023 14:34:17 PM	 Of me and you arguing 
0 12/04/2023 14:34:25 PM	 I don’t know Why you’re upset at me
1 12/04/2023 14:34:48 PM	 i’m not anymore 
1 12/04/2023 14:34:59 PM	 we gang fr 
1 12/04/2023 14:37:16 PM	 ok so no more arguing for today?
0 12/04/2023 14:38:46 PM	 I don’t feel like arguing anymore 
1 12/04/2023 14:41:51 PM	 ok 
1 12/04/2023 14:42:22 PM	 Adri 
0 12/04/2023 14:42:31 PM	 Yes
1 12/04/2023 14:42:48 PM	 What are u doing rn 
0 12/04/2023 14:44:40 PM	 Mateo 
1 12/04/2023 14:44:46 PM	 WHAT
0 12/04/2023 14:45:02 PM	 Mateo why are u mad at me for
1 12/04/2023 14:45:11 PM	 i’m not mad 😭😭😭
1 12/04/2023 14:45:17 PM	 why do you keep saying i’m mad 
0 12/04/2023 14:45:26 PM	 Okay then what’s the issue
1 12/04/2023 14:45:29 PM	 how can i prove to you that i’m not mad 
1 12/04/2023 14:45:31 PM	 😭😭😭
0 12/04/2023 14:45:51 PM	 ????m
0 12/04/2023 14:46:10 PM	 Why do we have relationship problems when we’re not together 
1 12/04/2023 14:46:24 PM	 LMAOOOOOO
0 12/04/2023 14:46:30 PM	 Stop arguing with me like im your girlfriend mateo…
0 12/04/2023 14:46:43 PM	 Cause atp Idk what more u want from me
1 12/04/2023 14:47:10 PM	 I don’t get what you’re on about i literally said no more arguments 
1 12/04/2023 14:47:18 PM	 what are you mad about now 
0 12/04/2023 14:47:26 PM	 I’m not mad
0 12/04/2023 14:47:35 PM	 Im just trying to solve the problem
0 12/04/2023 14:47:41 PM	 Okay great
1 12/04/2023 14:47:48 PM	 we already solved it 
1 12/04/2023 14:47:50 PM	 🙏🆖
1 12/04/2023 14:48:15 PM	 i laughed so hard when you sent that 😭😭😭🙏
1 12/04/2023 14:48:35 PM	 what do you mean
0 12/04/2023 14:49:20 PM	 Idk u leave me thinking like there’s something wrong with the way im acting but ur not telling me how to fix it
0 12/04/2023 14:49:30 PM	 Ur just arguing with me because it’s fun now
1 12/04/2023 14:50:58 PM	 We already fixed it I said I don’t like when you talk about other n**** and you said you wouldn’t do it anymore\nYou said that you don’t like when I make “insensitive” jokes and I said I wouldn’t make them anymore 
1 12/04/2023 14:51:28 PM	 i promise you there’s nothing wrong with the way you’re acting I don’t get why you’re getting that impression 
1 12/04/2023 14:51:34 PM	 We’re good 😃
0 12/04/2023 14:51:50 PM	 Okay good that’s all i needed to Hear
1 12/04/2023 14:52:02 PM	 she needed to hear a whole essay 😭🙏
1 12/04/2023 15:01:09 PM	 Adri 
1 12/04/2023 15:01:23 PM	 see that’s why communication is so important 🤓
0 12/04/2023 15:02:22 PM	 I was trying to communicate with you
0 12/04/2023 15:02:28 PM	 So be quiet 
1 12/04/2023 15:03:39 PM	 so sweet….
0 12/04/2023 15:04:08 PM	 🖕🖕🖕
1 12/04/2023 15:04:24 PM	 this *** can’t take a compliment 😭
0 12/04/2023 15:04:40 PM	 I didn’t ask for a compliment
0 12/04/2023 15:04:44 PM	 😂😳
1 12/04/2023 15:05:02 PM	 oh she’s in a mood again…
1 12/04/2023 15:05:24 PM	 why do you always have notifications silenced adri 
0 12/04/2023 15:05:53 PM	 I don’t like the noise it makes
0 12/04/2023 15:06:03 PM	 Sometimes i turn it off tho
0 12/04/2023 15:06:15 PM	 …. dont piss me off
1 12/04/2023 15:57:31 PM	 oh yeah another thing 
1 12/04/2023 15:58:31 PM	 does it bother you when i make s**ual comments 
1 12/04/2023 15:58:48 PM	 if so i’ll refrain from making any more 🤓
1 12/04/2023 15:59:17 PM	 is that a yes??
0 12/04/2023 16:48:52 PM	 I’m taking a nap
1 12/04/2023 16:53:41 PM	 thanks for telling me i was starting to get worried about your nap
0 12/04/2023 16:56:52 PM	 CAN YOU SAY GOODNIGHT THEN
1 12/04/2023 16:57:09 PM	 goodnight sweet pea 🫛 
1 12/04/2023 16:59:02 PM	 text me when you wake up 
0 12/04/2023 17:01:01 PM	 I will
1 12/04/2023 21:43:01 PM	 guess who just called me 😹😹
0 12/05/2023 00:10:53 AM	 Who!
1 12/05/2023 02:56:48 AM	 my ex 
1 12/05/2023 02:57:16 AM	 she called me crying yapping about how she thinks her current boyfriend cheated on her 
1 12/05/2023 02:58:03 AM	 so they have their location sharing on and apparently he went to a girls house and left at like 1:30 am….
1 12/05/2023 02:59:05 AM	 i felt bad for her but like bro you can’t just non contact a mf for over 3 months and then call me crying expecting sympathy from you same guy she rejected 😭
1 12/05/2023 02:59:27 AM	 hope everything works out for her 🙏 (i don’t)
0 12/05/2023 04:00:29 AM	 Can I see her
0 12/05/2023 04:00:41 AM	  Answeebrhis f****** phone
0 12/05/2023 04:01:46 AM	 Oh the black girl
0 12/05/2023 04:01:55 AM	 #yikes
1 12/05/2023 11:01:41 AM	 no
0 12/05/2023 11:02:52 AM	 Oh Hi mateo 
0 12/05/2023 11:02:56 AM	 Whats going on
0 12/05/2023 11:03:05 AM	 What was the question you were gonna ask me
1 12/05/2023 11:03:23 AM	 this 
0 12/05/2023 11:03:45 AM	 Oh I didn’t make it
0 12/05/2023 11:03:55 AM	 Idk who it was
